#T	V1	V2	I(V1)
5.271132575997563130e+00	-6.000000000000000000e+00	-5.969305961280221950e+00	-3.069404471227908714e-05
5.371132575997562775e+00	-6.000000000000000000e+00	-5.972229202494415468e+00	-2.777080351308334685e-05
5.471132575997562419e+00	-6.000000000000000000e+00	-5.974874039783181878e+00	-2.512596620931833468e-05
5.571132575997562064e+00	-6.000000000000000000e+00	-5.977266987806109988e+00	-2.273301820138894073e-05
5.671132575997561709e+00	-6.000000000000000000e+00	-5.979432036017114704e+00	-2.056796997538561713e-05
5.771132575997561354e+00	-6.000000000000000000e+00	-5.981390889160208779e+00	-1.860911684729035873e-05
5.871132575997560998e+00	-6.000000000000000000e+00	-5.983163184860925909e+00	-1.683682113157449839e-05
5.971132575997560643e+00	-6.000000000000000000e+00	-5.984766690494747188e+00	-1.523331551275103178e-05
6.071132575997560288e+00	-6.000000000000000000e+00	-5.986217481306153942e+00	-1.378252468634661069e-05
6.171132575997559933e+00	-6.000000000000000000e+00	-5.987530101563963036e+00	-1.246990444353608710e-05
6.271132575997559577e+00	-6.000000000000000000e+00	-5.988717710368526959e+00	-1.128229562397350372e-05
6.371132575997559222e+00	-6.000000000000000000e+00	-5.989792213572548540e+00	-1.020779243494971134e-05
6.471132575997558867e+00	-6.000000000000000000e+00	-5.990764383137996418e+00	-9.235622854504360932e-06
6.571132575997558511e+00	-6.000000000000000000e+00	-5.991643965125693860e+00	-8.356040881805598298e-06
6.671132575997558156e+00	-6.000000000000000000e+00	-5.992439777400195844e+00	-7.560228592304529954e-06
6.771132575997557801e+00	-6.000000000000000000e+00	-5.993159798029435770e+00	-6.840207978063334448e-06
6.871132575997557446e+00	-6.000000000000000000e+00	-5.993811245265348475e+00	-6.188760727152398473e-06
6.971132575997557090e+00	-6.000000000000000000e+00	-5.994400649907305478e+00	-5.599356100193445081e-06
7.071132575997556735e+00	-6.000000000000000000e+00	-5.994933920773784841e+00	-5.066085218715596338e-06
7.171132575997556380e+00	-6.000000000000000000e+00	-5.995416403938646610e+00	-4.583602068852299719e-06
7.271132575997556025e+00	-6.000000000000000000e+00	-5.995852936325858806e+00	-4.147069666641223783e-06
7.371132575997555669e+00	-6.000000000000000000e+00	-5.996247894199963291e+00	-3.752111807535759976e-06
7.471132575997555314e+00	-6.000000000000000000e+00	-5.996605237038402869e+00	-3.394768954097333318e-06
7.571132575997554959e+00	-6.000000000000000000e+00	-5.996928547225529371e+00	-3.071458781970005642e-06
7.671132575997554603e+00	-6.000000000000000000e+00	-5.997221065966233056e+00	-2.778940026267459457e-06
7.771132575997554248e+00	-6.000000000000000000e+00	-5.997485725779224452e+00	-2.514280228274637376e-06
7.871132575997553893e+00	-6.000000000000000000e+00	-5.997725179895717851e+00	-2.274826096782614843e-06
7.971132575997553538e+00	-6.000000000000000000e+00	-5.997941828858238011e+00	-2.058177149260957780e-06
8.071132575997554071e+00	-6.000000000000000000e+00	-5.998137844586212353e+00	-1.862161406288207313e-06
