#T	V1	V2	V3	V4	I(V0)	I(V1DUMMY)	I(V2DUMMY)
6.505505218161077963e+00	-1.000000000000000000e+01	-9.737552009727798108e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.245850710047235195e-03	2.210941777464465324e-03	1.034908922482780233e-03
6.510810319576799898e+00	-1.000000000000000000e+01	-9.491150518636647604e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.163716878635626506e-03	2.154995544681883625e-03	1.008721324053733033e-03
6.520810319576799685e+00	-1.000000000000000000e+01	-9.043454738144253824e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.014484952158022566e-03	2.053344811945454797e-03	9.611401301125776977e-04
6.530810319576799472e+00	-1.000000000000000000e+01	-8.616876683208728238e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.872292265952439572e-03	1.956488924448772457e-03	9.158033316036569412e-04
6.540810319576799259e+00	-1.000000000000000000e+01	-8.210420234697053843e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.736806783508638659e-03	1.864201711560983538e-03	8.726050618476649404e-04
6.550810319576799046e+00	-1.000000000000000000e+01	-7.823136260227928851e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.607712124165381413e-03	1.776267668448551496e-03	8.314444458168200689e-04
6.560810319576798832e+00	-1.000000000000000000e+01	-7.454120397815488630e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.484706837125900871e-03	1.692481458228029326e-03	7.922253687978813652e-04
6.570810319576798619e+00	-1.000000000000000000e+01	-7.102510944058458620e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.367503684721465260e-03	1.612647427088591528e-03	7.548562477328634498e-04
6.580810319576798406e+00	-1.000000000000000000e+01	-6.767486841942253584e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.255828984481820371e-03	1.536579152803821836e-03	7.192498215780081380e-04
6.590810319576798193e+00	-1.000000000000000000e+01	-6.448265763556991992e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.149421957233714486e-03	1.464099004017000664e-03	6.853229433167038658e-04
6.600810319576797980e+00	-1.000000000000000000e+01	-6.144102283252964369e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-2.048034130960991843e-03	1.395037730840180054e-03	6.529963900208217171e-04
6.610810319576797767e+00	-1.000000000000000000e+01	-5.854286136967566279e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.951428747776030610e-03	1.329234064241507180e-03	6.221946736345133639e-04
6.620810319576797554e+00	-1.000000000000000000e+01	-5.578140563660238804e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.859380223863996021e-03	1.266534344846584380e-03	5.928458689174216775e-04
6.630810319576797340e+00	-1.000000000000000000e+01	-5.315020724981076583e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.771673609908725388e-03	1.206792158737985147e-03	5.648814412707302843e-04
6.640810319576797127e+00	-1.000000000000000000e+01	-5.064312199483450350e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.688104101958261011e-03	1.149868000939724714e-03	5.382360909185463340e-04
6.650810319576796914e+00	-1.000000000000000000e+01	-4.825429547864702684e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.608476550380240908e-03	1.095628944276232477e-03	5.128475962039981493e-04
6.660810319576796701e+00	-1.000000000000000000e+01	-4.597814945883610172e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.532605016958376795e-03	1.043948334345496005e-03	4.886566725128907180e-04
6.670810319576796488e+00	-1.000000000000000000e+01	-4.380936881763227042e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.460312327902275713e-03	9.947054883853998549e-04	4.656068296168658469e-04
6.680810319576796275e+00	-1.000000000000000000e+01	-4.174288915036922454e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.391429672919639949e-03	9.477854188409167357e-04	4.436442439787331412e-04
6.690810319576796061e+00	-1.000000000000000000e+01	-3.977388493939452374e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.325796198224056272e-03	9.030785594740431323e-04	4.227176288500029662e-04
6.700810319576795848e+00	-1.000000000000000000e+01	-3.789775828581353867e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.263258643716550726e-03	8.604805148910169227e-04	4.027781187255436769e-04
6.710810319576795635e+00	-1.000000000000000000e+01	-3.611012817275530473e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.203670972302970776e-03	8.198918113831635658e-04	3.837791510197970904e-04
6.720810319576795422e+00	-1.000000000000000000e+01	-3.440682023508919052e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.146894041677007630e-03	7.812176700235846406e-04	3.656763615534330261e-04
6.730810319576795209e+00	-1.000000000000000000e+01	-3.278385701169902688e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.092795266601283939e-03	7.443677799629244436e-04	3.484274767383494301e-04
6.740810319576794996e+00	-1.000000000000000000e+01	-3.123744865756112432e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-1.041248322109074266e-03	7.092560929265472221e-04	3.319922190825370261e-04
6.750810319576794782e+00	-1.000000000000000000e+01	-2.976398409392588373e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-9.921328357076774924e-04	6.758006168906863752e-04	3.163322089169811062e-04
6.760810319576794569e+00	-1.000000000000000000e+01	-2.836002257594851361e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-9.453341191008616997e-04	6.439232300078943710e-04	3.014108789929773112e-04
6.770810319576794356e+00	-1.000000000000000000e+01	-2.702228565807085037e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-9.007428875707271503e-04	6.135494927974380732e-04	2.871933848732790662e-04
6.780810319576794143e+00	-1.000000000000000000e+01	-2.574764953839102422e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-8.582550175871976909e-04	5.846084797015575806e-04	2.736465277856500928e-04
6.790810319576793930e+00	-1.000000000000000000e+01	-2.453313776415519953e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-8.177712908579102538e-04	5.570326080799239271e-04	2.607386728779763157e-04
